"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu6671","Bin12",6.15049573549309e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9993014"
"Zotu5573","Bin12",1.38891254508405e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9996104"
"Zotu1980","Bin12",6.78323714041646e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9998605"
"Zotu9073","Bin12",5.13544396130725e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_unidentified","_unidentified","0.7707524"
"Zotu5270","Bin12",1.09962329485906e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9998689"
"Zotu2384","Bin12",4.58301450140773e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_unidentified","_unidentified","0.8739666"
"Zotu3526","Bin12",2.05230199213706e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8182190"
"Zotu9772","Bin12",5.19958410537578e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8179902"
"Zotu4636","Bin12",2.1421771696373e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.9441909"
"Zotu1369","Bin12",0.000126146759364917,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","_Schizothecium_carpinicola","0.9706129"
"Zotu5260","Bin12",1.41856210606418e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","_Schizothecium_carpinicola","0.9435800"
"Zotu9188","Bin12",6.7480876595954e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.9723313"
"Zotu2889","Bin12",3.12768248919886e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","_Schizothecium_carpinicola","0.9581691"
"Zotu10436","Bin12",3.92086211832057e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9909842"
"Zotu6476","Bin12",1.30116750819133e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.7935906"
"Zotu11746","Bin12",3.24930041263165e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8385922"
"Zotu2135","Bin12",6.92394963803146e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.7638303"
"Zotu17256","Bin12",2.25618240080709e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9999541"
"Zotu4311","Bin12",1.89583482206237e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9995145"
"Zotu3661","Bin12",2.06301193299561e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.9016784"
"Zotu2127","Bin12",5.66066360842912e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8744943"
"Zotu5036","Bin12",1.28135615637042e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Sordariaceae","","","0.9999999"
"Zotu1557","Bin12",9.87740838792545e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Sordariaceae","","","1.0000000"
"Zotu1960","Bin12",9.65989583916005e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Sordariaceae","","","1.0000000"
"Zotu3011","Bin12",3.26001770254393e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.9290548"
"Zotu5181","Bin12",1.76732722867507e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.7316194"
"Zotu817","Bin12",0.000198882411304252,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.7139900"
"Zotu3605","Bin12",1.83364663541561e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","","","","0.8309583"
"Zotu2739","Bin12",4.14773608007135e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","","","","0.8987860"
"Zotu5990","Bin12",7.63115345958179e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.7643618"
"Zotu2122","Bin12",5.11067964167612e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.9675058"
"Zotu699","Bin12",0.000240094926714288,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","","","","0.9972510"
"Zotu1103","Bin12",0.000135926084724992,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Sordariales_fam_Incertae_sedis","_Ramophialophora","_unidentified","0.8864450"
"Zotu3565","Bin12",2.68440015687269e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Sordariales_fam_Incertae_sedis","_Ramophialophora","_unidentified","0.8233122"
"Zotu1524","Bin12",8.52319063812042e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.8137811"
"Zotu2562","Bin12",4.33077316679174e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_unidentified","0.7561368"
"Zotu5474","Bin12",1.08213419274105e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_Podospora_pyriformis","0.9999998"
"Zotu7576","Bin13",7.54572215102015e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","_Fusicolla","_unidentified","0.8727925"
"Zotu3710","Bin13",2.18186465952839e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","","","0.9979914"
"Zotu158","Bin13",0.00105780416464684,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","_Fusicolla","_Fusicolla_septimanifiniscientiae","0.9416439"
